Customer ID,Age,Gender,Income,Location,Device Used,Product Categories Purchased,Total Orders,Average Order Value,Days Since Last Purchase,Customer Lifetime Value,Customer Type,Engagement Level,Cart Abandonment Rate,Churn Risk
CUST0018,20,Female,125317,Los Angeles,Tablet,"Sports, Electronics, Beauty",186,141,52,26226,VIP,Medium,0.6031524484182119,Low
CUST0019,39,Other,126347,San Antonio,Tablet,"Home & Kitchen, Sports, Clothing",17,342,355,5814,Returning,Low,0.5551827607780538,High
CUST0020,70,Other,78787,Dallas,Tablet,"Electronics, Sports",87,490,167,42630,Returning,Low,0.2248839486824059,Medium
CUST0021,19,Male,65488,Dallas,Tablet,Home & Kitchen,33,491,44,16203,Returning,Low,0.5777282683194058,Low
CUST0022,41,Female,104441,San Diego,Tablet,"Clothing, Home & Kitchen, Sports",7,121,104,847,New,High,0.3967610093390902,High
CUST0023,61,Female,104663,San Jose,Tablet,"Sports, Clothing",94,81,149,7614,Returning,High,0.08429179964085903,Medium
CUST0024,47,Female,52431,Dallas,Desktop,Clothing,108,549,145,59292,VIP,Medium,0.34701025243386174,Medium
CUST0025,55,Other,91681,Los Angeles,Mobile,Home & Kitchen,127,127,203,16129,VIP,Low,0.6624026460694956,High
CUST0026,19,Other,93483,Philadelphia,Tablet,"Electronics, Sports",190,265,361,50350,VIP,High,0.6271085773281092,High
CUST0027,38,Other,79153,Houston,Desktop,Beauty,80,403,298,32240,Returning,High,0.11647178264812542,High
CUST0028,50,Male,36368,Houston,Tablet,Clothing,134,586,166,78524,VIP,Low,0.5336823457143406,Medium
CUST0029,29,Other,57424,Phoenix,Tablet,"Electronics, Clothing, Beauty",112,263,200,29456,VIP,High,0.5737653628728525,High
CUST0030,39,Male,142360,Chicago,Mobile,"Home & Kitchen, Beauty, Sports",160,61,133,9760,VIP,Low,0.22640232235389712,Medium
CUST0031,61,Female,75004,New York,Mobile,Electronics,86,318,210,27348,Returning,Medium,0.35654557098170997,High
CUST0032,42,Other,113869,San Diego,Mobile,"Clothing, Sports",81,571,47,46251,Returning,Medium,0.5121421619513938,Low
CUST0033,66,Male,118652,Phoenix,Tablet,"Sports, Electronics",6,143,125,858,New,Medium,0.3353769677337461,High
CUST0034,44,Male,142755,Chicago,Tablet,"Electronics, Home & Kitchen",131,233,238,30523,VIP,Low,0.12331799726327501,High
CUST0035,59,Other,86985,San Jose,Tablet,"Electronics, Sports, Home & Kitchen",139,58,6,8062,VIP,High,0.508823589043119,Low
CUST0036,45,Female,80069,San Antonio,Mobile,Electronics,30,503,271,15090,Returning,Medium,0.6425651483279472,High
CUST0037,33,Female,82326,San Antonio,Desktop,"Home & Kitchen, Electronics, Clothing",92,282,36,25944,Returning,Medium,0.47411507346400233,Low
CUST0038,32,Female,138737,New York,Tablet,"Clothing, Beauty, Electronics",20,415,210,8300,Returning,Medium,0.552970486569872,High
CUST0039,64,Male,111061,Dallas,Tablet,"Electronics, Clothing",155,91,164,14105,VIP,High,0.2829356481775885,Medium
CUST0040,68,Male,53398,Los Angeles,Tablet,"Clothing, Beauty, Electronics",172,544,124,93568,VIP,High,0.16907885933231265,Medium
CUST0041,61,Male,128393,Phoenix,Desktop,"Beauty, Home & Kitchen",192,459,336,88128,VIP,Low,0.4678028800518901,High
CUST0042,69,Male,80861,Phoenix,Tablet,Home & Kitchen,77,566,191,43582,Returning,Medium,0.26305128379679227,High
CUST0043,20,Female,105897,San Diego,Desktop,Home & Kitchen,36,170,217,6120,Returning,High,0.6090477873433653,High
CUST0044,54,Other,111905,San Diego,Tablet,"Beauty, Clothing",19,329,213,6251,Returning,Low,0.1297082324857043,High
CUST0045,68,Male,98577,San Antonio,Desktop,Clothing,145,340,61,49300,VIP,Medium,0.33175140482653037,Medium
CUST0046,24,Male,95641,San Antonio,Tablet,"Home & Kitchen, Sports",9,500,327,4500,New,High,0.3078729403044507,High
CUST0047,38,Female,39078,Philadelphia,Mobile,Sports,78,422,160,32916,Returning,High,0.6597350048100542,Medium
CUST0048,26,Other,55003,Philadelphia,Mobile,Electronics,56,474,65,26544,Returning,Low,0.1495376203928625,Medium
CUST0049,56,Other,92768,Dallas,Mobile,"Clothing, Home & Kitchen",81,201,285,16281,Returning,Medium,0.05640043625780712,High
CUST0050,35,Female,81047,Philadelphia,Mobile,"Clothing, Home & Kitchen, Sports",173,60,238,10380,VIP,Medium,0.20475538832462642,High
CUST0051,21,Female,101626,Los Angeles,Tablet,"Home & Kitchen, Electronics",185,76,19,14060,VIP,High,0.5831799588496254,Low
CUST0052,42,Other,87660,Los Angeles,Mobile,"Clothing, Sports, Home & Kitchen",114,159,187,18126,VIP,Medium,0.18605918043056108,High
CUST0053,31,Male,134386,Phoenix,Desktop,"Home & Kitchen, Electronics, Sports",182,381,81,69342,VIP,Low,0.20657074140856374,Medium
CUST0054,67,Other,79786,Houston,Mobile,"Home & Kitchen, Beauty, Clothing",147,87,362,12789,VIP,High,0.134434222948927,High
CUST0055,26,Female,31925,Los Angeles,Mobile,"Sports, Home & Kitchen, Beauty",110,135,201,14850,VIP,High,0.5150335321297512,High
CUST0056,43,Male,113976,Chicago,Mobile,"Clothing, Beauty, Home & Kitchen",131,359,131,47029,VIP,Low,0.09496322382852115,Medium
CUST0057,70,Male,135221,San Antonio,Tablet,"Clothing, Electronics",11,412,36,4532,Returning,High,0.265285396513539,Low
CUST0058,19,Female,147832,San Diego,Mobile,"Beauty, Sports, Electronics",44,191,131,8404,Returning,Medium,0.23362417230362692,Medium
CUST0059,37,Female,56015,Philadelphia,Desktop,Electronics,160,315,76,50400,VIP,Medium,0.4108538243636006,Medium
CUST0060,45,Female,63320,Phoenix,Mobile,"Electronics, Sports",164,100,88,16400,VIP,High,0.5247705722628281,Medium
CUST0061,64,Other,94881,New York,Mobile,Sports,103,483,252,49749,VIP,Low,0.39636968255288574,High
CUST0062,24,Other,120827,San Diego,Mobile,Clothing,147,596,343,87612,VIP,Low,0.6551668954337939,High
CUST0063,61,Male,132215,Chicago,Desktop,"Sports, Clothing, Beauty",89,426,193,37914,Returning,Medium,0.6684377152767658,High
CUST0064,25,Female,56289,Philadelphia,Mobile,"Clothing, Electronics, Home & Kitchen",69,544,175,37536,Returning,Low,0.28495246352403497,Medium
CUST0065,64,Male,33389,Chicago,Desktop,Electronics,136,55,32,7480,VIP,High,0.5554922445786803,Low
CUST0066,52,Male,55683,San Antonio,Desktop,"Clothing, Home & Kitchen",15,342,57,5130,Returning,High,0.5302208991243232,Low
CUST0067,31,Male,43629,San Antonio,Mobile,Sports,112,155,200,17360,VIP,Medium,0.6304269846081377,High
CUST0068,34,Male,91550,Dallas,Desktop,"Beauty, Clothing",30,437,27,13110,Returning,Medium,0.3411633661350071,Low
CUST0069,53,Female,54826,Phoenix,Tablet,"Electronics, Clothing, Home & Kitchen",193,594,34,114642,VIP,Medium,0.3948075716785649,Low
CUST0070,67,Male,130734,San Diego,Mobile,"Home & Kitchen, Sports",169,227,124,38363,VIP,Low,0.3202533038280231,Medium
CUST0071,57,Female,56630,San Jose,Mobile,"Clothing, Electronics, Home & Kitchen",155,217,320,33635,VIP,High,0.6027449975448086,High
CUST0072,21,Female,128762,San Jose,Desktop,"Sports, Home & Kitchen",89,513,41,45657,Returning,High,0.19930650498538732,Low
CUST0073,19,Other,76163,San Diego,Desktop,"Electronics, Sports",172,479,84,82388,VIP,High,0.20581090085758902,Medium
CUST0074,23,Female,128511,New York,Mobile,"Electronics, Beauty",155,552,187,85560,VIP,Medium,0.29219331732510184,High
CUST0075,59,Other,96435,Phoenix,Tablet,"Electronics, Home & Kitchen",127,383,110,48641,VIP,High,0.19972284086652825,Medium
CUST0076,21,Female,41653,Chicago,Desktop,Beauty,148,129,270,19092,VIP,Low,0.41465444366969845,High
CUST0077,46,Female,57961,New York,Desktop,Sports,193,587,324,113291,VIP,Low,0.1374185692220765,High
CUST0078,35,Female,111941,Houston,Tablet,"Beauty, Sports",72,585,104,42120,Returning,High,0.25812104261263596,Medium
CUST0079,43,Other,104137,San Diego,Tablet,"Home & Kitchen, Sports, Beauty",108,307,319,33156,VIP,Medium,0.6437390540091334,High
CUST0080,61,Other,63662,Chicago,Mobile,"Beauty, Sports, Home & Kitchen",84,520,40,43680,Returning,High,0.3159965621246673,Low
CUST0081,51,Male,128818,San Jose,Tablet,"Clothing, Beauty",163,284,214,46292,VIP,Low,0.536351915720781,High
CUST0082,27,Other,86446,Los Angeles,Mobile,Electronics,57,410,70,23370,Returning,Low,0.1237504246092731,Medium
CUST0083,53,Other,51288,Dallas,Tablet,"Beauty, Clothing, Home & Kitchen",110,571,55,62810,VIP,Low,0.21091693029216002,Low
CUST0084,31,Other,125081,San Jose,Desktop,"Clothing, Home & Kitchen, Electronics",157,293,235,46001,VIP,High,0.5747746537802395,High
CUST0085,48,Other,66877,Phoenix,Mobile,Clothing,48,358,280,17184,Returning,Low,0.5459454085883011,High
CUST0086,65,Male,141562,San Antonio,Mobile,"Electronics, Beauty",144,144,104,20736,VIP,Medium,0.3010013470859837,Medium
CUST0087,32,Other,45313,Los Angeles,Mobile,Sports,94,305,161,28670,Returning,High,0.6703579863217582,Medium
CUST0088,25,Female,110885,Dallas,Tablet,"Electronics, Beauty, Clothing",105,517,190,54285,VIP,High,0.6419179602924545,High
CUST0089,31,Female,102715,Dallas,Desktop,Clothing,101,310,8,31310,VIP,Low,0.6754954869229558,Low
CUST0090,40,Other,40326,Houston,Mobile,"Electronics, Beauty",13,304,59,3952,Returning,Low,0.32814454862206044,Low
CUST0091,57,Other,140091,Houston,Mobile,"Home & Kitchen, Electronics",16,357,304,5712,Returning,Medium,0.17835782939569395,High
CUST0092,38,Female,31560,Philadelphia,Mobile,Clothing,73,240,224,17520,Returning,High,0.45732811540937157,High
CUST0093,33,Female,109148,San Jose,Mobile,Sports,186,581,306,108066,VIP,Low,0.495102552881479,High
CUST0094,62,Male,113186,San Jose,Desktop,"Beauty, Home & Kitchen, Electronics",186,55,187,10230,VIP,Medium,0.13153715989283798,High
CUST0095,35,Female,56745,San Jose,Tablet,"Sports, Electronics",32,56,69,1792,Returning,Low,0.5612139722923388,Medium
CUST0096,64,Female,61890,Philadelphia,Desktop,"Home & Kitchen, Beauty",60,112,292,6720,Returning,High,0.061739142843974346,High
CUST0097,70,Other,50022,New York,Mobile,Sports,103,442,286,45526,VIP,Low,0.3637734518599091,High
CUST0098,41,Female,82579,Dallas,Desktop,"Home & Kitchen, Beauty, Electronics",114,196,168,22344,VIP,High,0.26516056867168164,Medium
CUST0099,43,Male,100316,Los Angeles,Mobile,"Home & Kitchen, Clothing, Beauty",81,198,61,16038,Returning,Low,0.5311969889344046,Medium
CUST0100,42,Female,113847,Phoenix,Tablet,"Sports, Clothing",107,258,348,27606,VIP,High,0.25329447282418033,High
CUST0101,62,Other,58380,Dallas,Tablet,Beauty,110,396,13,43560,VIP,Medium,0.5874246233076713,Low
CUST0102,58,Other,140198,Houston,Tablet,"Sports, Home & Kitchen",113,557,163,62941,VIP,High,0.4367197677075268,Medium
CUST0103,46,Female,32356,Chicago,Mobile,"Clothing, Beauty, Sports",116,567,244,65772,VIP,Medium,0.5660306851453468,High
CUST0104,32,Other,100326,San Antonio,Desktop,"Clothing, Electronics",62,553,334,34286,Returning,High,0.6930714145957554,High
CUST0105,62,Male,122447,Philadelphia,Tablet,Electronics,82,101,7,8282,Returning,Medium,0.49145292473331187,Low
CUST0106,18,Male,144994,San Diego,Mobile,"Beauty, Electronics",79,135,153,10665,Returning,Low,0.6902177056350686,Medium
CUST0107,42,Female,119899,Chicago,Mobile,"Electronics, Beauty",46,311,35,14306,Returning,High,0.06874361249910847,Low
CUST0108,24,Female,50049,Phoenix,Desktop,"Beauty, Sports, Clothing",170,162,47,27540,VIP,Low,0.26979099251447547,Low
CUST0109,26,Female,105717,San Jose,Tablet,"Clothing, Electronics, Sports",72,563,84,40536,Returning,Medium,0.12010462196550094,Medium
CUST0110,41,Other,135361,Houston,Mobile,Beauty,185,298,27,55130,VIP,High,0.22049820539988568,Low
CUST0111,18,Male,46082,Houston,Desktop,"Home & Kitchen, Sports, Clothing",37,441,195,16317,Returning,High,0.5952771344317533,High
CUST0112,61,Male,30661,Houston,Tablet,"Beauty, Electronics",75,47,207,3525,Returning,Low,0.0710101224619587,High
CUST0113,25,Other,67412,San Jose,Desktop,"Clothing, Electronics, Sports",60,146,203,8760,Returning,High,0.3881189082260559,High
CUST0114,41,Male,144015,San Diego,Desktop,Electronics,109,173,306,18857,VIP,High,0.4186336598960424,High
CUST0115,28,Female,32920,Philadelphia,Mobile,"Home & Kitchen, Sports",105,580,103,60900,VIP,Low,0.4147482453367714,Medium
CUST0116,68,Female,121194,Chicago,Mobile,Sports,55,451,229,24805,Returning,High,0.35894309798511614,High
CUST0117,34,Female,144306,San Jose,Mobile,"Electronics, Clothing",78,398,100,31044,Returning,Low,0.563891927100341,Medium
CUST0118,25,Male,90315,Phoenix,Desktop,"Sports, Clothing, Electronics",175,587,28,102725,VIP,Low,0.13680300817860824,Low
CUST0119,52,Female,109561,Philadelphia,Mobile,Sports,125,79,126,9875,VIP,Low,0.25187506010801175,Medium
CUST0120,52,Other,38946,Phoenix,Desktop,Home & Kitchen,147,135,337,19845,VIP,Low,0.45022193473936223,High
CUST0121,50,Other,124242,Philadelphia,Desktop,"Clothing, Sports, Home & Kitchen",170,245,9,41650,VIP,Low,0.4991183880741712,Low
CUST0122,22,Male,75500,San Diego,Mobile,"Beauty, Clothing, Sports",147,454,105,66738,VIP,Medium,0.31269648065508654,Medium
CUST0123,59,Other,134540,San Antonio,Tablet,"Electronics, Beauty, Sports",9,101,166,909,New,Medium,0.6189913211627015,High
CUST0124,56,Other,46309,Phoenix,Tablet,Clothing,87,475,256,41325,Returning,Low,0.32007070785234426,High
CUST0125,58,Male,85230,San Jose,Tablet,Clothing,186,215,294,39990,VIP,Medium,0.3118044873264165,High
CUST0126,45,Female,141822,Philadelphia,Desktop,Beauty,55,99,276,5445,Returning,Medium,0.07353471996680022,High
CUST0127,24,Female,128656,Houston,Desktop,"Beauty, Sports, Electronics",14,179,64,2506,Returning,High,0.4082418685265769,Medium
CUST0128,26,Female,60027,Dallas,Desktop,"Home & Kitchen, Clothing",144,275,270,39600,VIP,Low,0.5106425450327383,High
CUST0129,25,Male,102541,Houston,Mobile,"Electronics, Clothing",8,567,187,4536,New,Medium,0.12438480628595126,High
CUST0130,29,Other,142340,New York,Desktop,"Electronics, Home & Kitchen, Clothing",99,128,316,12672,Returning,High,0.24853129795711604,High
CUST0131,51,Female,144846,San Antonio,Mobile,Clothing,150,307,137,46050,VIP,High,0.5578170199588539,Medium
CUST0132,50,Female,89321,San Antonio,Mobile,"Electronics, Sports, Home & Kitchen",84,592,342,49728,Returning,Low,0.287847633018824,High
CUST0133,65,Male,30956,Houston,Tablet,"Clothing, Beauty",40,484,104,19360,Returning,Low,0.20704160032602592,Medium
CUST0134,40,Female,130375,Chicago,Tablet,"Sports, Home & Kitchen, Clothing",29,133,33,3857,Returning,High,0.4869304313173229,Low
CUST0135,41,Male,104131,San Diego,Tablet,"Home & Kitchen, Sports, Beauty",102,262,109,26724,VIP,Low,0.1778932054865761,Medium
CUST0136,54,Other,77908,Phoenix,Mobile,Beauty,168,423,32,71064,VIP,Low,0.6321743977290649,Low
CUST0137,52,Male,108339,San Jose,Mobile,"Clothing, Home & Kitchen, Beauty",105,530,353,55650,VIP,High,0.11863895741699163,High
CUST0138,61,Male,55963,San Antonio,Mobile,"Sports, Clothing",199,280,230,55720,VIP,High,0.5092573714838374,High
CUST0139,57,Male,131757,Houston,Desktop,Sports,13,550,316,7150,Returning,Low,0.3747066558361438,High
CUST0140,39,Male,69443,Houston,Mobile,"Sports, Home & Kitchen",65,108,265,7020,Returning,Medium,0.6154542155580458,High
CUST0141,44,Other,129259,San Diego,Tablet,Sports,57,81,181,4617,Returning,Low,0.13202680916705378,High
CUST0142,52,Other,69063,San Diego,Tablet,Clothing,150,255,339,38250,VIP,Medium,0.490631697022457,High
CUST0143,18,Female,144225,Los Angeles,Mobile,"Sports, Home & Kitchen, Clothing",175,80,64,14000,VIP,High,0.4218355154678979,Medium
CUST0144,52,Other,146400,Los Angeles,Mobile,Home & Kitchen,167,215,332,35905,VIP,Medium,0.3620585924560301,High
CUST0145,54,Other,110818,Chicago,Tablet,Beauty,67,63,0,4221,Returning,High,0.3694147212312344,Low
CUST0146,64,Female,34703,Chicago,Mobile,"Sports, Beauty, Electronics",125,160,132,20000,VIP,Low,0.519285025169045,Medium
CUST0147,31,Other,95128,New York,Tablet,"Beauty, Electronics, Home & Kitchen",109,472,79,51448,VIP,Low,0.6595320757076343,Medium
CUST0148,20,Male,102099,Chicago,Desktop,"Sports, Electronics, Beauty",8,461,270,3688,New,High,0.10931357842738125,High
CUST0149,18,Male,55849,Philadelphia,Tablet,"Sports, Home & Kitchen, Clothing",97,526,240,51022,Returning,High,0.06267672094683815,High
CUST0150,22,Female,61860,San Diego,Desktop,"Beauty, Home & Kitchen, Sports",173,432,27,74736,VIP,High,0.5737081151127823,Low
CUST0151,43,Female,61585,San Jose,Mobile,"Electronics, Sports",177,352,222,62304,VIP,Low,0.12031010190799356,High
CUST0152,31,Female,52015,Philadelphia,Mobile,"Electronics, Sports",182,239,22,43498,VIP,Low,0.6913529174522755,Low
CUST0153,56,Male,107539,Phoenix,Desktop,Sports,32,358,108,11456,Returning,Medium,0.4525763618232441,Medium
CUST0154,44,Other,73585,Houston,Mobile,Electronics,174,401,106,69774,VIP,High,0.4730631569151914,Medium
CUST0155,26,Male,56958,Chicago,Desktop,"Home & Kitchen, Electronics",84,489,144,41076,Returning,Medium,0.1792796069097113,Medium
CUST0156,32,Female,56017,Houston,Mobile,"Beauty, Clothing",80,162,353,12960,Returning,Low,0.20620300169283834,High
CUST0157,32,Other,106707,San Antonio,Tablet,Clothing,120,150,138,18000,VIP,Medium,0.4785776970145125,Medium
CUST0158,43,Other,75350,New York,Mobile,"Beauty, Electronics",73,481,283,35113,Returning,Medium,0.641322444657228,High
CUST0159,59,Male,42201,San Antonio,Tablet,"Sports, Home & Kitchen",102,158,297,16116,VIP,Low,0.6885538604364183,High
CUST0160,30,Female,59426,New York,Tablet,Clothing,5,120,98,600,New,Low,0.17872011531021087,High
CUST0161,68,Male,47778,Los Angeles,Desktop,Sports,171,58,316,9918,VIP,High,0.1371777547613636,High
CUST0162,49,Other,75241,Houston,Mobile,Beauty,100,553,122,55300,Returning,Medium,0.0866608825445138,Medium
CUST0163,56,Male,72229,New York,Desktop,"Electronics, Sports",21,362,319,7602,Returning,Low,0.6143930618048631,High
CUST0164,66,Male,116652,Dallas,Mobile,"Electronics, Home & Kitchen",116,326,286,37816,VIP,Low,0.24156465045670467,High
CUST0165,69,Female,148402,Philadelphia,Tablet,"Sports, Electronics",95,159,80,15105,Returning,Medium,0.051177822015013585,Medium
CUST0166,49,Female,78364,New York,Tablet,"Electronics, Clothing",92,322,9,29624,Returning,Low,0.1954817559366787,Low
CUST0167,21,Other,128833,New York,Mobile,"Electronics, Sports, Clothing",167,202,7,33734,VIP,High,0.27128670206462197,Low
CUST0168,47,Male,114878,Philadelphia,Mobile,Beauty,178,53,204,9434,VIP,High,0.6941410101728454,High
CUST0169,54,Male,87056,Houston,Desktop,Clothing,174,128,314,22272,VIP,Medium,0.390302036007103,High
CUST0170,40,Male,57490,Houston,Mobile,"Home & Kitchen, Clothing, Sports",171,435,196,74385,VIP,High,0.18306406593681585,High
CUST0171,56,Other,49975,Philadelphia,Mobile,"Clothing, Electronics",94,385,197,36190,Returning,Low,0.26763192406374314,High
CUST0172,62,Other,56723,San Antonio,Mobile,Home & Kitchen,53,168,29,8904,Returning,Low,0.264699996911971,Low
CUST0173,32,Female,53279,Dallas,Desktop,"Clothing, Sports",194,532,19,103208,VIP,Low,0.06282173520106407,Low
CUST0174,60,Female,108301,San Jose,Mobile,"Electronics, Home & Kitchen",42,203,47,8526,Returning,Low,0.13786898521142954,Low
CUST0175,46,Female,142214,Phoenix,Tablet,Sports,155,58,129,8990,VIP,Medium,0.5018776988070872,Medium
CUST0176,53,Male,41561,Dallas,Desktop,"Home & Kitchen, Sports",154,525,292,80850,VIP,High,0.1281631412709775,High
CUST0177,30,Male,137435,Houston,Desktop,Home & Kitchen,136,380,131,51680,VIP,High,0.19997727979397717,Medium
CUST0178,49,Female,96061,San Jose,Tablet,Sports,181,583,355,105523,VIP,Low,0.27797924396280066,High
CUST0179,24,Male,118397,Los Angeles,Tablet,"Home & Kitchen, Clothing, Electronics",63,328,53,20664,Returning,Medium,0.5425277139264909,Low
CUST0180,68,Female,79153,Chicago,Tablet,"Electronics, Clothing",72,221,280,15912,Returning,Low,0.4285606271641608,High
CUST0181,39,Other,63142,New York,Mobile,"Clothing, Sports",134,93,264,12462,VIP,Low,0.4978499902425693,High
CUST0182,45,Female,56916,Philadelphia,Tablet,Clothing,53,244,214,12932,Returning,Medium,0.4185580115231119,High
CUST0183,19,Other,94324,Philadelphia,Mobile,Sports,130,195,289,25350,VIP,Medium,0.4943350763942148,High
CUST0184,59,Male,74965,New York,Desktop,Sports,163,572,42,93236,VIP,Low,0.051847399881582094,Low
CUST0185,62,Female,34648,Chicago,Desktop,Home & Kitchen,115,261,73,30015,VIP,High,0.6550837938414291,Medium
CUST0186,70,Male,65133,Phoenix,Tablet,Electronics,172,570,349,98040,VIP,Low,0.12209815006862422,High
CUST0187,23,Other,80677,Chicago,Mobile,"Clothing, Beauty",52,224,277,11648,Returning,High,0.3140619123849881,High
CUST0188,45,Other,126059,San Jose,Tablet,"Home & Kitchen, Clothing, Sports",55,535,325,29425,Returning,High,0.5511749406591556,High
CUST0189,45,Other,124588,Chicago,Tablet,Home & Kitchen,47,363,241,17061,Returning,Medium,0.3328999667061255,High
CUST0190,61,Male,129950,San Jose,Mobile,"Electronics, Clothing",102,333,129,33966,VIP,Medium,0.6654476585838852,Medium
CUST0191,61,Male,128317,Chicago,Tablet,Home & Kitchen,187,466,349,87142,VIP,Low,0.35393281652419833,High
CUST0192,37,Male,100135,Phoenix,Desktop,Sports,181,352,193,63712,VIP,High,0.6187106136417364,High
CUST0193,47,Male,65046,Phoenix,Tablet,"Sports, Clothing, Beauty",128,531,31,67968,VIP,High,0.5770382736854761,Low
CUST0194,28,Other,77064,Houston,Mobile,"Sports, Home & Kitchen",84,422,105,35448,Returning,Low,0.687641096819144,Medium
CUST0195,45,Other,131459,New York,Mobile,"Electronics, Beauty, Home & Kitchen",189,178,203,33642,VIP,Low,0.652256057488134,High
CUST0196,42,Female,136625,Phoenix,Desktop,Home & Kitchen,115,434,0,49910,VIP,Low,0.6337804925633711,Low
CUST0197,56,Female,99350,San Jose,Mobile,Home & Kitchen,147,312,244,45864,VIP,Medium,0.5255428213376544,High
CUST0198,50,Male,75893,Phoenix,Mobile,"Home & Kitchen, Sports, Electronics",31,391,71,12121,Returning,Low,0.2885487957243435,Medium
CUST0199,18,Other,131520,Houston,Desktop,Sports,200,408,305,81600,VIP,Low,0.11898152206718657,High
CUST0200,44,Other,91272,Philadelphia,Tablet,"Home & Kitchen, Electronics, Clothing",196,227,14,44492,VIP,High,0.4976192839718534,Low
CUST0201,69,Other,122152,San Jose,Desktop,"Electronics, Sports",162,585,52,94770,VIP,Low,0.6861251528696771,Low
CUST0202,30,Female,97649,Houston,Tablet,Sports,168,385,7,64680,VIP,High,0.5222928842657147,Low
CUST0203,58,Female,94674,San Antonio,Desktop,"Electronics, Home & Kitchen",199,569,329,113231,VIP,High,0.653674090030268,High
CUST0204,20,Other,149044,San Antonio,Tablet,"Beauty, Sports",117,458,45,53586,VIP,Medium,0.5727980634210859,Low
CUST0205,56,Other,138542,Los Angeles,Desktop,"Clothing, Beauty",90,46,324,4140,Returning,Low,0.1560245388258412,High
CUST0206,23,Other,43760,Chicago,Tablet,Clothing,118,408,113,48144,VIP,Low,0.2119824508843367,Medium
CUST0207,25,Female,51927,New York,Desktop,"Home & Kitchen, Electronics",128,535,146,68480,VIP,High,0.27221264114552773,Medium
CUST0208,44,Other,116475,San Diego,Tablet,"Sports, Electronics",53,105,165,5565,Returning,Medium,0.1593692888197027,Medium
CUST0209,26,Other,91367,Dallas,Desktop,"Clothing, Beauty, Electronics",80,260,138,20800,Returning,Medium,0.4280733662374543,Medium
CUST0210,54,Male,127955,Houston,Mobile,"Sports, Home & Kitchen, Clothing",59,277,116,16343,Returning,Low,0.6840428406877183,Medium
CUST0211,50,Male,42588,Philadelphia,Tablet,"Electronics, Home & Kitchen, Sports",60,331,298,19860,Returning,High,0.5449482417335031,High
CUST0212,68,Female,131678,Dallas,Desktop,Electronics,200,244,275,48800,VIP,Low,0.3252013868938502,High
CUST0213,59,Other,134734,Philadelphia,Tablet,"Clothing, Electronics",99,187,276,18513,Returning,Low,0.05292791263718763,High
CUST0214,61,Other,148154,Dallas,Tablet,"Home & Kitchen, Beauty, Electronics",48,98,337,4704,Returning,Low,0.25362940723981614,High
CUST0215,41,Male,82233,Houston,Desktop,Clothing,163,422,312,68786,VIP,Low,0.39239353699993984,High
CUST0216,32,Female,74738,San Diego,Tablet,"Electronics, Clothing, Beauty",190,114,177,21660,VIP,High,0.26076306800378085,Medium
CUST0217,49,Male,63397,Dallas,Desktop,"Beauty, Sports, Electronics",91,296,329,26936,Returning,Medium,0.12217269996550868,High
